,homeType,hasGarage,hasCooling,hasHeating,hasView,yearBuilt,latestPrice,latest_saleyear,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms,numOfStories
70,Single Family,True,True,True,False,2020,268729.0,2020,4800.0,1514.0,2.0,3,1
71,Single Family,False,True,True,False,2013,625000.0,2019,15681.6,3111.0,3.0,4,1
72,Single Family,True,True,True,False,1989,435000.0,2020,8973.0,3113.0,3.0,4,2
73,Single Family,False,True,True,False,2016,285000.0,2018,5662.0,1973.0,3.0,3,2
74,Townhouse,False,True,True,False,1995,399900.0,2019,3963.0,1487.0,2.0,2,1
75,Single Family,False,True,True,False,2016,215000.0,2019,5749.0,1370.0,2.0,3,1
76,Single Family,True,True,True,False,2000,519500.0,2020,7666.0,3055.0,4.0,4,2
77,Townhouse,False,True,True,False,2010,450000.0,2018,6368.0,2283.0,3.0,4,2
78,Single Family,False,True,True,False,1995,463700.0,2018,9539.0,3115.0,3.0,4,2
79,Single Family,True,True,True,False,1987,209900.0,2020,5558.0,1419.0,2.0,3,1
80,Single Family,True,True,True,False,2016,375000.0,2020,6969.0,2682.0,5.0,7,2
81,Single Family,True,True,True,False,2014,229900.0,2020,4573.0,1936.0,3.0,4,2
82,Single Family,True,True,True,True,2001,549900.0,2018,10105.0,3794.0,4.0,4,2
83,Single Family,False,True,True,False,1983,690000.0,2019,10367.0,2967.0,3.0,4,2
84,Single Family,False,True,True,False,2014,584900.0,2019,7501.0,3787.0,4.0,5,2
85,Single Family,True,True,True,False,2011,287500.0,2018,7623.0,2314.0,3.0,5,1
86,Single Family,False,True,True,False,1977,599800.0,2019,11325.6,2753.0,3.0,5,1
87,Single Family,False,True,True,False,2016,325000.0,2018,6185.0,2068.0,3.0,4,2
88,Single Family,True,True,True,False,2006,350000.0,2020,5140.0,1791.0,3.0,3,2
89,Single Family,False,True,True,False,2001,574900.0,2018,11325.6,3338.0,4.0,4,2
90,Condo,True,True,True,False,2013,374000.0,2019,6368.0,2283.0,3.0,4,2
91,Single Family,False,True,True,False,1977,699900.0,2019,27442.8,2997.0,3.0,4,1
92,Single Family,False,True,True,False,2017,205000.0,2019,7274.0,1225.0,2.0,3,1
93,Single Family,True,True,True,False,2002,425000.0,2020,9670.0,2864.0,3.0,5,1
94,Single Family,False,True,True,False,1984,425000.0,2019,3920.0,1573.0,2.0,3,1
95,Single Family,True,True,True,True,1988,684000.0,2020,10454.0,2656.0,3.0,4,2
96,Single Family,True,True,True,True,2002,359965.0,2020,5140.0,1975.0,3.0,4,2
97,Single Family,False,True,True,False,1971,120000.0,2018,9452.0,1745.0,2.0,4,1
98,Single Family,False,True,True,False,2011,225000.0,2018,8276.0,1375.0,2.0,3,1
99,Single Family,False,True,True,False,2017,388990.0,2018,6969.0,2502.0,3.0,4,1
100,Single Family,True,True,True,True,1972,435000.0,2018,16988.4,2313.0,2.0,4,1
101,Single Family,True,True,True,True,1989,795000.0,2020,15245.999999999998,2700.0,3.0,4,2
102,Single Family,True,True,True,False,2016,218800.0,2019,5706.0,1480.0,2.0,3,1
103,Condo,False,True,True,False,2015,200000.0,2019,6194.0,1321.0,3.0,3,2
104,Single Family,False,True,True,False,1989,368500.0,2018,7230.0,2267.0,2.0,4,1
105,Single Family,True,True,True,True,2018,454500.0,2020,5749.0,2508.0,3.0,3,1
106,Single Family,True,True,True,False,2017,285000.0,2020,12196.8,1791.0,2.0,3,1
107,Single Family,True,True,True,True,1996,799000.0,2019,142441.2,4491.0,7.0,5,2
108,Single Family,False,True,True,False,2010,199000.0,2020,4007.0,1268.0,2.0,3,1
109,Single Family,False,True,True,False,2014,622800.0,2018,7187.0,2903.0,3.0,3,1
110,Single Family,False,True,True,False,2000,429000.0,2020,11325.6,3033.0,4.0,4,2
111,Single Family,False,True,True,False,2009,259900.0,2019,12196.8,2573.0,3.0,3,2
112,Single Family,True,True,True,True,1977,629000.0,2020,13503.6,2340.0,3.0,4,2
113,Single Family,False,True,True,True,2014,525000.0,2019,7710.0,3187.0,3.0,4,2
114,Single Family,True,True,True,False,2002,345000.0,2020,7492.0,3675.0,4.0,5,2
115,Single Family,True,True,True,False,2017,255000.0,2020,5000.0,1641.0,2.0,3,1
116,Single Family,False,True,True,True,2019,282226.0,2020,5532.0,1413.0,2.0,3,1
117,Single Family,True,True,True,False,2004,180000.0,2018,6229.0,1326.0,2.0,3,1
118,Single Family,False,True,True,False,2005,184900.0,2019,4312.0,1203.0,2.0,3,1
119,Single Family,True,True,True,False,1982,750000.0,2020,8319.0,2922.0,4.0,3,2
120,Single Family,True,True,True,False,1996,475000.0,2020,7405.0,2428.0,3.0,3,2
121,Single Family,True,True,True,True,2010,219000.0,2019,10000.0,1256.0,2.0,3,1
122,Single Family,False,True,True,False,2011,293300.0,2019,6011.0,3047.0,3.0,3,2
123,Single Family,False,True,True,False,1988,229999.0,2019,7274.0,1712.0,3.0,3,2
124,Single Family,False,True,True,False,1975,415000.0,2018,13503.6,2234.0,3.0,3,1
125,Single Family,True,True,True,False,1980,175000.0,2018,4835.0,1315.0,2.0,3,1
126,Single Family,False,True,True,False,1971,398900.0,2020,20037.6,2089.0,2.0,3,1
127,Single Family,False,True,True,True,2016,389900.0,2019,9626.0,3319.0,3.0,5,2
128,Single Family,True,True,True,False,2013,536170.0,2018,7230.0,3415.0,4.0,5,2
129,Single Family,True,True,True,True,2001,665000.0,2018,18295.2,4137.0,4.0,5,2
130,Single Family,False,True,True,False,1987,179900.0,2018,5880.0,1587.0,2.0,4,1
